id;player;time;empty_cells;round
1;H_ALFA_BETA_3;0,032946;42;1
1;MCTS_1000;0,999563;41;1
1;H_ALFA_BETA_3;0,025901;40;2
1;MCTS_1000;0,941765;39;2
1;H_ALFA_BETA_3;0,037628;38;3
1;MCTS_1000;0,950583;37;3
1;H_ALFA_BETA_3;0,04782;36;4
1;MCTS_1000;0,746011;35;4
1;H_ALFA_BETA_3;0,046241;34;5
1;MCTS_1000;0,721526;33;5
1;H_ALFA_BETA_3;0,045748;32;6
1;MCTS_1000;0,669438;31;6
1;H_ALFA_BETA_3;0,057914;30;7
1;MCTS_1000;0,49962;29;7
1;H_ALFA_BETA_3;0,03813;28;8
1;MCTS_1000;0,442873;27;8
1;H_ALFA_BETA_3;0,050689;26;9
1;MCTS_1000;0,419263;25;9
1;H_ALFA_BETA_3;0,036812;24;10
1;MCTS_1000;0,24356;23;10
1;H_ALFA_BETA_3;0,023144;22;11
1;MCTS_1000;0,247702;21;11
1;H_ALFA_BETA_3;0,027882;20;12
1;MCTS_1000;0,140273;19;12
2;H_ALFA_BETA_3;0,029487;42;1
2;MCTS_1000;0,971403;41;1
2;H_ALFA_BETA_3;0,028461;40;2
2;MCTS_1000;0,834405;39;2
2;H_ALFA_BETA_3;0,020145;38;3
2;MCTS_1000;0,766958;37;3
2;H_ALFA_BETA_3;0,024872;36;4
2;MCTS_1000;0,774592;35;4
2;H_ALFA_BETA_3;0,037189;34;5
2;MCTS_1000;0,750445;33;5
2;H_ALFA_BETA_3;0,029769;32;6
2;MCTS_1000;0,703708;31;6
2;H_ALFA_BETA_3;0,020492;30;7
2;MCTS_1000;0,756046;29;7
2;H_ALFA_BETA_3;0,021123;28;8
2;MCTS_1000;0,546867;27;8
2;H_ALFA_BETA_3;0,030199;26;9
2;MCTS_1000;0,467388;25;9
2;H_ALFA_BETA_3;0,041543;24;10
2;MCTS_1000;0,340671;23;10
2;H_ALFA_BETA_3;0,028356;22;11
2;MCTS_1000;0,343303;21;11
2;H_ALFA_BETA_3;0,02395;20;12
2;MCTS_1000;0,340936;19;12
2;H_ALFA_BETA_3;0,021049;18;13
2;MCTS_1000;0,21497;17;13
2;H_ALFA_BETA_3;0,01448;16;14
2;MCTS_1000;0,0986;15;14
2;H_ALFA_BETA_3;0,007847;14;15
2;MCTS_1000;0,072455;13;15
2;H_ALFA_BETA_3;0,004584;12;16
2;MCTS_1000;0,067176;11;16
2;H_ALFA_BETA_3;0,001154;10;17
3;H_ALFA_BETA_3;0,029816;42;1
3;MCTS_1000;0,986997;41;1
3;H_ALFA_BETA_3;0,025887;40;2
3;MCTS_1000;0,860305;39;2
3;H_ALFA_BETA_3;0,031398;38;3
3;MCTS_1000;0,881153;37;3
3;H_ALFA_BETA_3;0,037494;36;4
3;MCTS_1000;0,859085;35;4
3;H_ALFA_BETA_3;0,025103;34;5
3;MCTS_1000;0,813864;33;5
3;H_ALFA_BETA_3;0,028607;32;6
3;MCTS_1000;0,698381;31;6
3;H_ALFA_BETA_3;0,037453;30;7
3;MCTS_1000;0,564065;29;7
3;H_ALFA_BETA_3;0,023996;28;8
3;MCTS_1000;0,509512;27;8
3;H_ALFA_BETA_3;0,038616;26;9
3;MCTS_1000;0,595193;25;9
3;H_ALFA_BETA_3;0,032146;24;10
3;MCTS_1000;0,578182;23;10
3;H_ALFA_BETA_3;0,026972;22;11
3;MCTS_1000;0,505694;21;11
3;H_ALFA_BETA_3;0,019853;20;12
3;MCTS_1000;0,424766;19;12
3;H_ALFA_BETA_3;0,014615;18;13
3;MCTS_1000;0,279603;17;13
3;H_ALFA_BETA_3;0,010902;16;14
3;MCTS_1000;0,228765;15;14
3;H_ALFA_BETA_3;0,00837;14;15
3;MCTS_1000;0,127044;13;15
3;H_ALFA_BETA_3;0,004197;12;16
3;MCTS_1000;0,087142;11;16
3;H_ALFA_BETA_3;0,002818;10;17
3;MCTS_1000;0,059014;9;17
3;H_ALFA_BETA_3;0,001477;8;18
3;MCTS_1000;0,053415;7;18
3;H_ALFA_BETA_3;0,000641;6;19
3;MCTS_1000;0,050041;5;19
4;H_ALFA_BETA_3;0,029729;42;1
4;MCTS_1000;0,935675;41;1
4;H_ALFA_BETA_3;0,027839;40;2
4;MCTS_1000;0,807354;39;2
4;H_ALFA_BETA_3;0,029289;38;3
4;MCTS_1000;0,773581;37;3
4;H_ALFA_BETA_3;0,035171;36;4
4;MCTS_1000;0,800958;35;4
4;H_ALFA_BETA_3;0,028921;34;5
4;MCTS_1000;0,816218;33;5
4;H_ALFA_BETA_3;0,020336;32;6
4;MCTS_1000;0,809217;31;6
4;H_ALFA_BETA_3;0,023762;30;7
4;MCTS_1000;0,707588;29;7
4;H_ALFA_BETA_3;0,03155;28;8
4;MCTS_1000;0,511374;27;8
4;H_ALFA_BETA_3;0,018998;26;9
4;MCTS_1000;0,587691;25;9
4;H_ALFA_BETA_3;0,007819;24;10
4;MCTS_1000;0,585687;23;10
4;H_ALFA_BETA_3;0,032221;22;11
4;MCTS_1000;0,319465;21;11
4;H_ALFA_BETA_3;0,014354;20;12
4;MCTS_1000;0,159566;19;12
5;H_ALFA_BETA_3;0,029717;42;1
5;MCTS_1000;0,971667;41;1
5;H_ALFA_BETA_3;0,025064;40;2
5;MCTS_1000;0,911832;39;2
5;H_ALFA_BETA_3;0,031726;38;3
5;MCTS_1000;0,828418;37;3
5;H_ALFA_BETA_3;0,037058;36;4
5;MCTS_1000;0,868991;35;4
5;H_ALFA_BETA_3;0,038597;34;5
5;MCTS_1000;0,844621;33;5
5;H_ALFA_BETA_3;0,027887;32;6
5;MCTS_1000;0,722053;31;6
5;H_ALFA_BETA_3;0,038287;30;7
5;MCTS_1000;0,582598;29;7
5;H_ALFA_BETA_3;0,022881;28;8
5;MCTS_1000;0,558385;27;8
5;H_ALFA_BETA_3;0,031188;26;9
5;MCTS_1000;0,359792;25;9
5;H_ALFA_BETA_3;0,019459;24;10
5;MCTS_1000;0,283539;23;10
5;H_ALFA_BETA_3;0,028467;22;11
5;MCTS_1000;0,170133;21;11
6;MCTS_1000;0,981638;42;1
6;H_ALFA_BETA_3;0,027136;41;1
6;MCTS_1000;0,8873;40;2
6;H_ALFA_BETA_3;0,025928;39;2
6;MCTS_1000;0,844026;38;3
6;H_ALFA_BETA_3;0,03916;37;3
6;MCTS_1000;0,847323;36;4
6;H_ALFA_BETA_3;0,039728;35;4
6;MCTS_1000;0,767823;34;5
6;H_ALFA_BETA_3;0,025098;33;5
6;MCTS_1000;0,63888;32;6
6;H_ALFA_BETA_3;0,022484;31;6
6;MCTS_1000;0,584371;30;7
6;H_ALFA_BETA_3;0,029831;29;7
6;MCTS_1000;0,54504;28;8
6;H_ALFA_BETA_3;0,058165;27;8
6;MCTS_1000;0,596106;26;9
6;H_ALFA_BETA_3;0,007929;25;9
6;MCTS_1000;0,446719;24;10
6;H_ALFA_BETA_3;0,014564;23;10
6;MCTS_1000;0,315675;22;11
6;H_ALFA_BETA_3;0,006535;21;11
6;MCTS_1000;0,161601;20;12
7;MCTS_1000;1,003145;42;1
7;H_ALFA_BETA_3;0,026892;41;1
7;MCTS_1000;0,879114;40;2
7;H_ALFA_BETA_3;0,025954;39;2
7;MCTS_1000;0,790295;38;3
7;H_ALFA_BETA_3;0,030006;37;3
7;MCTS_1000;0,873305;36;4
7;H_ALFA_BETA_3;0,038701;35;4
7;MCTS_1000;0,815673;34;5
7;H_ALFA_BETA_3;0,037739;33;5
7;MCTS_1000;0,696667;32;6
7;H_ALFA_BETA_3;0,050999;31;6
7;MCTS_1000;0,584447;30;7
7;H_ALFA_BETA_3;0,042918;29;7
7;MCTS_1000;0,483512;28;8
7;H_ALFA_BETA_3;0,029712;27;8
7;MCTS_1000;0,526121;26;9
7;H_ALFA_BETA_3;0,040994;25;9
7;MCTS_1000;0,400599;24;10
7;H_ALFA_BETA_3;0,0141;23;10
7;MCTS_1000;0,314777;22;11
7;H_ALFA_BETA_3;0,011316;21;11
7;MCTS_1000;0,19518;20;12
7;H_ALFA_BETA_3;0,008884;19;12
7;MCTS_1000;0,160604;18;13
7;H_ALFA_BETA_3;0,007628;17;13
7;MCTS_1000;0,111717;16;14
8;MCTS_1000;1,015321;42;1
8;H_ALFA_BETA_3;0,027224;41;1
8;MCTS_1000;1,027416;40;2
8;H_ALFA_BETA_3;0,02581;39;2
8;MCTS_1000;0,861271;38;3
8;H_ALFA_BETA_3;0,040483;37;3
8;MCTS_1000;0,992684;36;4
8;H_ALFA_BETA_3;0,044859;35;4
8;MCTS_1000;0,858324;34;5
8;H_ALFA_BETA_3;0,025813;33;5
8;MCTS_1000;0,701082;32;6
8;H_ALFA_BETA_3;0,02405;31;6
8;MCTS_1000;0,63067;30;7
8;H_ALFA_BETA_3;0,025105;29;7
8;MCTS_1000;0,549646;28;8
8;H_ALFA_BETA_3;0,035694;27;8
8;MCTS_1000;0,512937;26;9
8;H_ALFA_BETA_3;0,01596;25;9
8;MCTS_1000;0,517548;24;10
8;H_ALFA_BETA_3;0,021162;23;10
8;MCTS_1000;0,302512;22;11
