id;time;winner;player1;player2;count;empty_cells
1;7,521367;MCTS_1000;H_ALFA_BETA_3;MCTS_1000;1/5;18
2;8,477548;H_ALFA_BETA_3;H_ALFA_BETA_3;MCTS_1000;2/5;9
3;9,610509;MCTS_1000;H_ALFA_BETA_3;MCTS_1000;3/5;4
4;8,143401;MCTS_1000;H_ALFA_BETA_3;MCTS_1000;4/5;18
5;7,459743;MCTS_1000;H_ALFA_BETA_3;MCTS_1000;5/5;20
6;7,944816;MCTS_1000;MCTS_1000;H_ALFA_BETA_3;1/5;19
7;8,235;MCTS_1000;MCTS_1000;H_ALFA_BETA_3;2/5;15
8;8,423208;MCTS_1000;MCTS_1000;H_ALFA_BETA_3;3/5;19
9;6,490904;MCTS_1000;MCTS_1000;H_ALFA_BETA_3;4/5;27
10;6,638881;MCTS_1000;MCTS_1000;H_ALFA_BETA_3;5/5;23
11;18,639505;MCTS_2000;H_ALFA_BETA_3;MCTS_2000;1/5;10
12;16,003897;H_ALFA_BETA_3;H_ALFA_BETA_3;MCTS_2000;2/5;11
13;13,067358;MCTS_2000;H_ALFA_BETA_3;MCTS_2000;3/5;24
14;17,954866;H_ALFA_BETA_3;H_ALFA_BETA_3;MCTS_2000;4/5;7
15;19,849491;H_ALFA_BETA_3;H_ALFA_BETA_3;MCTS_2000;5/5;3
16;12,019058;MCTS_2000;MCTS_2000;H_ALFA_BETA_3;1/5;27
17;16,212704;MCTS_2000;MCTS_2000;H_ALFA_BETA_3;2/5;13
18;19,187557;H_ALFA_BETA_3;MCTS_2000;H_ALFA_BETA_3;3/5;6
19;18,112874;MCTS_2000;MCTS_2000;H_ALFA_BETA_3;4/5;21
20;16,373515;H_ALFA_BETA_3;MCTS_2000;H_ALFA_BETA_3;5/5;12
21;43,945628;MCTS_5000;H_ALFA_BETA_3;MCTS_5000;1/5;10
22;32,731337;MCTS_5000;H_ALFA_BETA_3;MCTS_5000;2/5;12
23;41,333176;H_ALFA_BETA_3;H_ALFA_BETA_3;MCTS_5000;3/5;7
24;44,187526;MCTS_5000;H_ALFA_BETA_3;MCTS_5000;4/5;4
25;30,775989;MCTS_5000;H_ALFA_BETA_3;MCTS_5000;5/5;22
26;26,924179;MCTS_5000;MCTS_5000;H_ALFA_BETA_3;1/5;27
27;40,375805;H_ALFA_BETA_3;MCTS_5000;H_ALFA_BETA_3;2/5;4
28;38,784166;H_ALFA_BETA_3;MCTS_5000;H_ALFA_BETA_3;3/5;12
29;26,896056;MCTS_5000;MCTS_5000;H_ALFA_BETA_3;4/5;27
30;40,294398;H_ALFA_BETA_3;MCTS_5000;H_ALFA_BETA_3;5/5;6
31;10,319003;H_ALFA_BETA_4;H_ALFA_BETA_4;MCTS_1000;1/5;7
32;9,68791;H_ALFA_BETA_4;H_ALFA_BETA_4;MCTS_1000;2/5;15
33;11,006378;H_ALFA_BETA_4;H_ALFA_BETA_4;MCTS_1000;3/5;5
34;8,372548;H_ALFA_BETA_4;H_ALFA_BETA_4;MCTS_1000;4/5;11
35;8,38615;H_ALFA_BETA_4;H_ALFA_BETA_4;MCTS_1000;5/5;9
36;9,973662;H_ALFA_BETA_4;MCTS_1000;H_ALFA_BETA_4;1/5;8
37;9,646587;H_ALFA_BETA_4;MCTS_1000;H_ALFA_BETA_4;2/5;10
38;8,806504;H_ALFA_BETA_4;MCTS_1000;H_ALFA_BETA_4;3/5;18
39;7,147101;MCTS_1000;MCTS_1000;H_ALFA_BETA_4;4/5;23
40;9,780649;H_ALFA_BETA_4;MCTS_1000;H_ALFA_BETA_4;5/5;14
41;14,393216;MCTS_2000;H_ALFA_BETA_4;MCTS_2000;1/5;18
42;14,695458;H_ALFA_BETA_4;H_ALFA_BETA_4;MCTS_2000;2/5;15
43;15,496776;H_ALFA_BETA_4;H_ALFA_BETA_4;MCTS_2000;3/5;7
44;14,654835;H_ALFA_BETA_4;H_ALFA_BETA_4;MCTS_2000;4/5;13
45;18,58124;MCTS_2000;H_ALFA_BETA_4;MCTS_2000;5/5;6
46;18,24812;H_ALFA_BETA_4;MCTS_2000;H_ALFA_BETA_4;1/5;4
47;17,311001;MCTS_2000;MCTS_2000;H_ALFA_BETA_4;2/5;9
48;18,526501;MCTS_2000;MCTS_2000;H_ALFA_BETA_4;3/5;9
49;18,384428;H_ALFA_BETA_4;MCTS_2000;H_ALFA_BETA_4;4/5;6
50;18,81166;MCTS_2000;MCTS_2000;H_ALFA_BETA_4;5/5;7
51;42,394877;MCTS_5000;H_ALFA_BETA_4;MCTS_5000;1/5;4
52;35,292106;MCTS_5000;H_ALFA_BETA_4;MCTS_5000;2/5;14
53;33,659338;H_ALFA_BETA_4;H_ALFA_BETA_4;MCTS_5000;3/5;9
54;37,311554;MCTS_5000;H_ALFA_BETA_4;MCTS_5000;4/5;10
55;37,628585;H_ALFA_BETA_4;H_ALFA_BETA_4;MCTS_5000;5/5;7
56;40,792456;MCTS_5000;MCTS_5000;H_ALFA_BETA_4;1/5;15
57;30,646605;MCTS_5000;MCTS_5000;H_ALFA_BETA_4;2/5;23
58;53,648165;MCTS_5000;MCTS_5000;H_ALFA_BETA_4;3/5;3
59;45,294673;MCTS_5000;MCTS_5000;H_ALFA_BETA_4;4/5;7
60;36,43035;H_ALFA_BETA_4;MCTS_5000;H_ALFA_BETA_4;5/5;18
61;12,824368;H_ALFA_BETA_5;H_ALFA_BETA_5;MCTS_1000;1/5;17
62;18,841536;H_ALFA_BETA_5;H_ALFA_BETA_5;MCTS_1000;2/5;5
63;11,994835;MCTS_1000;H_ALFA_BETA_5;MCTS_1000;3/5;8
64;12,079654;MCTS_1000;H_ALFA_BETA_5;MCTS_1000;4/5;10
65;12,523174;H_ALFA_BETA_5;H_ALFA_BETA_5;MCTS_1000;5/5;19
66;13,43549;H_ALFA_BETA_5;MCTS_1000;H_ALFA_BETA_5;1/5;6
67;11,321884;MCTS_1000;MCTS_1000;H_ALFA_BETA_5;2/5;11
68;12,339101;H_ALFA_BETA_5;MCTS_1000;H_ALFA_BETA_5;3/5;12
69;11,660752;H_ALFA_BETA_5;MCTS_1000;H_ALFA_BETA_5;4/5;8
70;12,208023;MCTS_1000;MCTS_1000;H_ALFA_BETA_5;5/5;3
71;21,164867;MCTS_2000;H_ALFA_BETA_5;MCTS_2000;1/5;8
72;23,133962;MCTS_2000;H_ALFA_BETA_5;MCTS_2000;2/5;8
73;21,124055;MCTS_2000;H_ALFA_BETA_5;MCTS_2000;3/5;4
74;21,720576;MCTS_2000;H_ALFA_BETA_5;MCTS_2000;4/5;2
75;22,675702;H_ALFA_BETA_5;H_ALFA_BETA_5;MCTS_2000;5/5;13
76;16,278631;H_ALFA_BETA_5;MCTS_2000;H_ALFA_BETA_5;1/5;14
77;26,586428;H_ALFA_BETA_5;MCTS_2000;H_ALFA_BETA_5;2/5;10
78;18,369778;MCTS_2000;MCTS_2000;H_ALFA_BETA_5;3/5;13
79;18,735843;MCTS_2000;MCTS_2000;H_ALFA_BETA_5;4/5;21
80;22,630333;MCTS_2000;MCTS_2000;H_ALFA_BETA_5;5/5;7
81;43,132753;MCTS_5000;H_ALFA_BETA_5;MCTS_5000;1/5;6
82;46,745974;MCTS_5000;H_ALFA_BETA_5;MCTS_5000;2/5;6
83;42,896828;H_ALFA_BETA_5;H_ALFA_BETA_5;MCTS_5000;3/5;7
84;48,961816;MCTS_5000;H_ALFA_BETA_5;MCTS_5000;4/5;2
85;45,947773;MCTS_5000;H_ALFA_BETA_5;MCTS_5000;5/5;2
86;38,302883;MCTS_5000;MCTS_5000;H_ALFA_BETA_5;1/5;21
87;51,622135;;MCTS_5000;H_ALFA_BETA_5;2/5;0
88;40,068583;H_ALFA_BETA_5;MCTS_5000;H_ALFA_BETA_5;3/5;10
89;33,454221;MCTS_5000;MCTS_5000;H_ALFA_BETA_5;4/5;13
90;37,442771;H_ALFA_BETA_5;MCTS_5000;H_ALFA_BETA_5;5/5;20
91;16,801518;H_ALFA_BETA_6;H_ALFA_BETA_6;MCTS_1000;1/5;23
92;37,925398;H_ALFA_BETA_6;H_ALFA_BETA_6;MCTS_1000;2/5;15
93;25,797208;H_ALFA_BETA_6;H_ALFA_BETA_6;MCTS_1000;3/5;15
94;30,620213;H_ALFA_BETA_6;H_ALFA_BETA_6;MCTS_1000;4/5;7
95;29,96148;H_ALFA_BETA_6;H_ALFA_BETA_6;MCTS_1000;5/5;15
96;24,29444;H_ALFA_BETA_6;MCTS_1000;H_ALFA_BETA_6;1/5;10
97;32,15047;MCTS_1000;MCTS_1000;H_ALFA_BETA_6;2/5;9
98;29,107869;H_ALFA_BETA_6;MCTS_1000;H_ALFA_BETA_6;3/5;8
99;35,561664;H_ALFA_BETA_6;MCTS_1000;H_ALFA_BETA_6;4/5;10
100;27,653532;MCTS_1000;MCTS_1000;H_ALFA_BETA_6;5/5;7
101;36,277524;H_ALFA_BETA_6;H_ALFA_BETA_6;MCTS_2000;1/5;9
102;30,835715;H_ALFA_BETA_6;H_ALFA_BETA_6;MCTS_2000;2/5;21
103;39,434027;MCTS_2000;H_ALFA_BETA_6;MCTS_2000;3/5;2
104;32,56673;MCTS_2000;H_ALFA_BETA_6;MCTS_2000;4/5;4
105;30,325624;H_ALFA_BETA_6;H_ALFA_BETA_6;MCTS_2000;5/5;13
106;41,366634;;MCTS_2000;H_ALFA_BETA_6;1/5;0
107;33,259836;MCTS_2000;MCTS_2000;H_ALFA_BETA_6;2/5;9
108;38,37834;H_ALFA_BETA_6;MCTS_2000;H_ALFA_BETA_6;3/5;8
109;39,140309;H_ALFA_BETA_6;MCTS_2000;H_ALFA_BETA_6;4/5;10
110;33,378845;H_ALFA_BETA_6;MCTS_2000;H_ALFA_BETA_6;5/5;12
111;54,188936;MCTS_5000;H_ALFA_BETA_6;MCTS_5000;1/5;12
112;55,320556;H_ALFA_BETA_6;H_ALFA_BETA_6;MCTS_5000;2/5;7
113;59,829742;H_ALFA_BETA_6;H_ALFA_BETA_6;MCTS_5000;3/5;9
114;61,352548;H_ALFA_BETA_6;H_ALFA_BETA_6;MCTS_5000;4/5;5
115;68,130574;MCTS_5000;H_ALFA_BETA_6;MCTS_5000;5/5;4
116;69,164017;MCTS_5000;MCTS_5000;H_ALFA_BETA_6;1/5;7
117;62,553418;H_ALFA_BETA_6;MCTS_5000;H_ALFA_BETA_6;2/5;8
118;61,546299;MCTS_5000;MCTS_5000;H_ALFA_BETA_6;3/5;7
119;68,778157;H_ALFA_BETA_6;MCTS_5000;H_ALFA_BETA_6;4/5;4
120;77,977384;;MCTS_5000;H_ALFA_BETA_6;5/5;0
